Id,Prediction,Logits_0,Logits_1
1,-1,4.754364490509033,-3.8670496940612793
2,-1,2.1816635131835938,-1.8116838932037354
3,1,-1.2380608320236206,1.599966049194336
4,1,-2.576399326324463,2.455422878265381
5,-1,4.144672393798828,-3.4381890296936035
6,1,0.03573784977197647,0.2644209563732147
7,-1,3.423832416534424,-2.9727931022644043
8,1,-2.169550657272339,2.342874050140381
9,1,-2.167112112045288,2.407816171646118
10,1,-1.8483723402023315,1.9900188446044922
11,1,-4.4099955558776855,3.663149356842041
12,1,-2.6198296546936035,2.4835634231567383
13,1,-2.165001392364502,2.0669071674346924
14,-1,2.7614009380340576,-2.3303399085998535
15,1,-2.3369040489196777,2.343465805053711
16,1,-1.9761322736740112,2.135223388671875
17,-1,4.755226135253906,-3.8697237968444824
18,1,-4.58894681930542,3.7006847858428955
19,1,-2.7480764389038086,2.5308187007904053
20,-1,4.751923084259033,-3.8665924072265625
21,-1,0.6953781843185425,-0.5071384906768799
22,-1,4.742374897003174,-3.868072986602783
23,1,-1.9777714014053345,2.161633253097534
24,-1,4.755039691925049,-3.8684496879577637
25,1,-4.602421283721924,3.681814670562744
26,-1,4.756344318389893,-3.8674635887145996
27,-1,0.45369425415992737,-0.3668380081653595
28,1,-1.5336204767227173,1.7232885360717773
29,-1,4.754342555999756,-3.868649482727051
30,-1,0.5982549786567688,-0.6228013634681702
31,1,-0.9539220929145813,1.1700340509414673
32,-1,3.4505414962768555,-3.0036849975585938
33,-1,2.2742247581481934,-1.913811445236206
34,1,-1.7516531944274902,1.9481852054595947
35,1,-1.1632472276687622,1.314026951789856
36,1,-2.7540197372436523,2.5658559799194336
37,1,-2.7127838134765625,2.5645227432250977
38,-1,3.10164737701416,-2.613799810409546
39,-1,3.3777830600738525,-2.9565699100494385
40,1,-1.2184332609176636,1.4698824882507324
41,1,-1.916197419166565,2.1403565406799316
42,-1,4.760383605957031,-3.861185312271118
43,-1,4.750936031341553,-3.866000175476074
44,-1,4.7527756690979,-3.8682849407196045
45,-1,4.7527756690979,-3.8682849407196045
46,-1,4.757988929748535,-3.865940570831299
47,-1,1.461769461631775,-1.4050178527832031
48,1,-2.981027364730835,2.8136684894561768
49,1,-2.8532347679138184,2.674834728240967
50,-1,4.753305912017822,-3.869823455810547
51,1,-4.56003999710083,3.6903491020202637
52,1,-0.06912873685359955,0.31639382243156433
53,-1,2.9562487602233887,-2.5822415351867676
54,-1,4.550929069519043,-3.629678726196289
55,-1,3.1981558799743652,-2.722264289855957
56,1,-1.8618887662887573,2.0513505935668945
57,1,-2.866237163543701,2.699585199356079
58,1,-1.086333990097046,1.3168004751205444
59,-1,4.119147777557373,-3.381793737411499
60,1,-0.43516021966934204,0.7160831689834595
61,1,-3.131063938140869,2.9268219470977783
62,1,-0.12393517047166824,0.5395540595054626
63,1,-0.12393517047166824,0.5395540595054626
64,-1,2.0406699180603027,-1.7808339595794678
65,-1,4.340810775756836,-3.5830235481262207
66,1,-3.694350242614746,3.326984405517578
67,1,-3.2428231239318848,3.069913148880005
68,1,-4.262057781219482,3.629657506942749
69,-1,4.748592376708984,-3.872527599334717
70,-1,4.753600120544434,-3.865816116333008
71,1,-2.001675844192505,2.1866278648376465
72,1,-0.456400066614151,0.8103671073913574
73,1,-4.502055644989014,3.689757823944092
74,-1,2.5282909870147705,-2.1945807933807373
75,1,-4.493536472320557,3.684622049331665
76,-1,2.113679885864258,-1.774693489074707
77,1,-4.482778072357178,3.5604586601257324
78,-1,4.312305927276611,-3.5309340953826904
79,-1,0.13682742416858673,0.055656611919403076
80,-1,0.6811891198158264,-0.8334351181983948
81,-1,2.6119260787963867,-2.2769551277160645
82,1,-1.7120989561080933,2.041203498840332
83,-1,4.036912441253662,-3.3976402282714844
84,-1,4.75584077835083,-3.8688418865203857
85,-1,4.739443302154541,-3.8638274669647217
86,-1,2.4299302101135254,-2.072782516479492
87,1,-0.4526347517967224,0.6818625330924988
88,1,-0.4526347517967224,0.6818625330924988
89,-1,4.240183353424072,-3.5200586318969727
90,-1,3.9608116149902344,-3.4020495414733887
91,1,-4.5707526206970215,3.6650631427764893
92,1,-2.0678067207336426,2.2319319248199463
93,-1,2.5635695457458496,-2.135312557220459
94,1,-2.689605712890625,2.5420219898223877
95,-1,4.172252178192139,-3.4866161346435547
96,-1,1.4059773683547974,-1.2690473794937134
97,-1,4.756158351898193,-3.8678054809570312
98,-1,3.846416473388672,-3.264580249786377
99,1,-0.5118887424468994,0.793021023273468
100,1,-2.017972707748413,2.176037311553955
101,-1,4.749025821685791,-3.864553451538086
102,1,-1.4434162378311157,1.5834805965423584
103,-1,3.539306879043579,-3.0431220531463623
104,-1,1.298413872718811,-1.229682445526123
105,-1,3.8203155994415283,-3.2422256469726562
106,-1,4.693592548370361,-3.8153271675109863
107,-1,4.750711441040039,-3.870062828063965
108,-1,4.750711441040039,-3.870062828063965
109,-1,4.571117877960205,-3.5797576904296875
110,1,-3.698749542236328,3.3269619941711426
111,-1,2.008152484893799,-1.6280012130737305
112,-1,2.008152484893799,-1.6280012130737305
113,-1,4.754436016082764,-3.8688013553619385
114,1,-2.4972052574157715,2.458454132080078
115,-1,3.501147747039795,-3.129760265350342
116,-1,2.502804756164551,-2.1285362243652344
117,-1,3.6745219230651855,-3.1553077697753906
118,1,-2.8071882724761963,2.659212112426758
119,-1,4.752763748168945,-3.869795322418213
120,-1,1.9794377088546753,-1.6827080249786377
121,-1,4.318248271942139,-3.566310167312622
122,1,-1.6659919023513794,1.9232280254364014
123,-1,2.6255667209625244,-2.349224090576172
124,-1,4.75792932510376,-3.8658745288848877
125,1,-1.8595337867736816,2.121633529663086
126,-1,1.6522910594940186,-1.4608505964279175
127,1,-4.490865230560303,3.612060070037842
128,-1,3.974116802215576,-3.396880865097046
129,1,-3.973456859588623,3.487975835800171
130,-1,3.6681346893310547,-3.202545404434204
131,-1,4.728658199310303,-3.8605751991271973
132,-1,3.474334239959717,-2.988147020339966
133,-1,4.75109338760376,-3.87028431892395
134,-1,1.3576891422271729,-1.3108017444610596
135,-1,4.752368450164795,-3.8693506717681885
136,-1,4.752368450164795,-3.8693506717681885
137,1,-4.486150741577148,3.6496219635009766
138,1,-4.486150741577148,3.6496219635009766
139,1,-4.486150741577148,3.6496219635009766
140,1,-4.486150741577148,3.6496219635009766
141,1,-4.486150741577148,3.6496219635009766
142,1,-2.607121229171753,2.4346060752868652
143,1,-0.19198712706565857,0.517448365688324
144,1,-1.830081582069397,2.0278573036193848
145,-1,1.7873138189315796,-1.5207175016403198
146,1,-2.242703437805176,2.1173808574676514
147,1,-2.8304600715637207,2.67525577545166
148,1,-1.7779322862625122,2.0322792530059814
149,1,-3.4448893070220947,3.1920480728149414
150,-1,2.63791561126709,-2.159677028656006
151,1,0.007765108719468117,0.2365955114364624
152,-1,0.06458356976509094,0.027148623019456863
153,-1,4.173552989959717,-3.4732370376586914
154,-1,1.9190977811813354,-1.610182762145996
155,1,-4.029031276702881,3.488534927368164
156,1,-1.1017199754714966,1.296173095703125
157,-1,1.8759359121322632,-1.6182940006256104
158,-1,1.3650634288787842,-1.2404146194458008
159,1,-1.4332637786865234,1.6410647630691528
160,1,-3.7328920364379883,3.354498863220215
161,1,-1.0045288801193237,1.2231688499450684
162,-1,3.434864044189453,-2.960568428039551
163,-1,4.532732963562012,-3.591609001159668
164,1,-2.942504644393921,2.7282230854034424
165,1,-2.842104911804199,2.676431894302368
166,1,-2.842104911804199,2.676431894302368
167,1,-4.567752361297607,3.682210683822632
168,1,-1.7119073867797852,1.8219332695007324
169,1,-3.5355966091156006,3.226682186126709
170,1,-3.833395004272461,3.381094455718994
171,-1,4.755981922149658,-3.8673532009124756
172,-1,4.755362033843994,-3.868894100189209
173,-1,0.19885438680648804,0.0892748311161995
174,1,-1.1355987787246704,1.4063327312469482
175,1,-4.0667405128479,3.5149364471435547
176,-1,4.75200891494751,-3.8717472553253174
177,-1,1.6967227458953857,-1.54257071018219
178,-1,3.1084914207458496,-2.667065143585205
179,1,-0.14745238423347473,0.4677746593952179
180,1,-4.210445880889893,3.5780415534973145
181,-1,4.7536444664001465,-3.8637895584106445
182,1,-4.461336612701416,3.6053972244262695
183,-1,2.685443878173828,-2.285259962081909
184,1,-0.8546088933944702,1.0353909730911255
185,1,-1.3779077529907227,1.5358648300170898
186,-1,2.8585238456726074,-2.43300724029541
187,1,-1.9097540378570557,2.194627523422241
188,-1,3.0408542156219482,-2.6246774196624756
189,-1,2.0413928031921387,-1.8031213283538818
190,-1,4.752464294433594,-3.8695130348205566
191,1,-3.401519298553467,3.143110752105713
192,-1,3.484992504119873,-3.0691940784454346
193,1,-4.246730804443359,3.54052996635437
194,-1,4.7541327476501465,-3.8697333335876465
195,1,-2.1910595893859863,2.3280677795410156
196,1,-1.8198751211166382,2.1244499683380127
197,1,-1.9296021461486816,2.156275749206543
198,1,-4.269685745239258,3.6022677421569824
199,-1,1.4532479047775269,-1.3704071044921875
200,-1,4.11984920501709,-3.391855239868164
201,-1,4.756985187530518,-3.866109609603882
202,-1,4.193457126617432,-3.533341884613037
203,1,-4.213525295257568,3.6263463497161865
204,1,-1.3848581314086914,1.5043296813964844
205,-1,2.1854963302612305,-1.9726296663284302
206,1,-2.864993095397949,2.721644401550293
207,-1,4.7562971115112305,-3.8674252033233643
208,-1,2.4319911003112793,-1.9972505569458008
209,1,-3.7336268424987793,3.359510898590088
210,-1,4.749510288238525,-3.8703126907348633
211,-1,4.750734806060791,-3.8700180053710938
212,1,-3.43634295463562,3.1831655502319336
213,-1,2.4270153045654297,-2.1095714569091797
214,-1,2.4270153045654297,-2.1095714569091797
215,1,-0.9527611136436462,1.2182927131652832
216,1,-2.448209762573242,2.4554007053375244
217,-1,0.5274983644485474,-0.4416145980358124
218,1,-4.22396993637085,3.5626890659332275
219,1,-3.600808620452881,3.2986409664154053
220,-1,1.0240943431854248,-0.956105649471283
221,-1,4.752583980560303,-3.8671536445617676
222,-1,1.3342143297195435,-1.3092018365859985
223,-1,4.728241443634033,-3.8506088256835938
224,-1,3.071226119995117,-2.7383570671081543
225,1,-2.403975009918213,2.3689022064208984
226,-1,4.1381754875183105,-3.476966381072998
227,-1,4.746484756469727,-3.8714261054992676
228,1,-2.5291693210601807,2.43222975730896
229,-1,2.153249740600586,-1.886122465133667
230,-1,4.748382091522217,-3.8739490509033203
231,-1,3.4205384254455566,-2.8953022956848145
232,-1,3.479485034942627,-3.04738712310791
233,1,-1.887482762336731,2.026792526245117
234,-1,0.15787918865680695,0.026163088157773018
235,-1,3.395216941833496,-2.8939263820648193
236,-1,4.0832390785217285,-3.4131417274475098
237,1,-4.365285396575928,3.6039915084838867
238,-1,1.4234014749526978,-1.4174103736877441
239,-1,4.7530198097229,-3.871675729751587
240,1,-2.465575933456421,2.5127429962158203
241,1,-4.213228225708008,3.5864553451538086
242,1,-3.232163190841675,3.042131185531616
243,1,-3.3437647819519043,3.1386380195617676
244,1,-4.16373872756958,3.5531563758850098
245,1,-2.2191853523254395,2.370060443878174
246,1,-3.227830410003662,2.9952993392944336
247,1,-2.485168933868408,2.41461181640625
248,-1,4.7560505867004395,-3.8663907051086426
249,-1,4.751892566680908,-3.8697257041931152
250,1,-2.807720899581909,2.6064112186431885
251,-1,4.080009460449219,-3.3827271461486816
252,1,-1.3702847957611084,1.6653412580490112
253,1,-1.5972524881362915,1.7284013032913208
254,1,-3.4911022186279297,3.196918487548828
255,-1,4.755330562591553,-3.8689987659454346
256,1,-0.538193941116333,0.8073572516441345
257,-1,1.5951205492019653,-1.396446943283081
258,1,-3.150968313217163,2.969766139984131
259,1,-0.39401790499687195,0.6931337714195251
260,1,-2.7701120376586914,2.679569721221924
261,-1,4.754945755004883,-3.868154525756836
